threshold,year_group,cumulative_male_population,cumulative_female_population
0.0,0-14 years,2.023938024,-1.903779811
0.0,15-64 years,5.220641902,-5.095569677
0.0,65 years and over,0.753470767,-0.939884811
1.7,0-14 years,0.963715317,-0.905319122
1.7,15-64 years,2.536760717,-2.475046636
1.7,65 years and over,0.350090527,-0.43390588
2.0,0-14 years,0.963713795,-0.905317674
2.0,15-64 years,2.536752079,-2.475038078
2.0,65 years and over,0.350085413,-0.433899563
2.4,0-14 years,0.96357343,-0.905178375
2.4,15-64 years,2.536467591,-2.474666549
2.4,65 years and over,0.350067656,-0.433876858
2.5,0-14 years,0.963518907,-0.905127041
2.5,15-64 years,2.536302634,-2.474486828
2.5,65 years and over,0.350050908,-0.43385915
2.6,0-14 years,0.96164768,-0.903331341
2.6,15-64 years,2.533384966,-2.471635137
2.6,65 years and over,0.349861057,-0.433665937
2.7,0-14 years,0.936803542,-0.879290263
2.7,15-64 years,2.475228111,-2.410211873
2.7,65 years and over,0.343830672,-0.426757284
2.8,0-14 years,0.935584811,-0.878104107
2.8,15-64 years,2.472700468,-2.407656844
2.8,65 years and over,0.34366153,-0.426561608
2.9,0-14 years,0.89158194,-0.835887907
2.9,15-64 years,2.396151647,-2.334591326
2.9,65 years and over,0.338178897,-0.4202241
3.0,0-14 years,0.883078698,-0.827414018
3.0,15-64 years,2.387421632,-2.325155745
3.0,65 years and over,0.337828838,-0.419735605
3.2,0-14 years,0.690819847,-0.653128838
3.2,15-64 years,1.87883308,-1.848675668
3.2,65 years and over,0.293154257,-0.367645706
3.3,15-64 years,1.878830367,-1.848673123
3.3,65 years and over,0.293153661,-0.367645084
3.3,0-14 years,0.690819081,-0.653128141
3.4,0-14 years,0.689123724,-0.651418797
3.4,15-64 years,1.875096468,-1.84486467
3.4,65 years and over,0.292924861,-0.367350676
3.5,0-14 years,0.602402695,-0.568270588
3.5,15-64 years,1.708525547,-1.679117007
3.5,65 years and over,0.27899983,-0.35108352
3.7,0-14 years,0.579581669,-0.545772257
3.7,15-64 years,1.675179783,-1.645444074
3.7,65 years and over,0.277111999,-0.348846693
3.8,0-14 years,0.572187112,-0.538735606
3.8,15-64 years,1.655683202,-1.625346268
3.8,65 years and over,0.275393322,-0.346620672
3.9,0-14 years,0.545331731,-0.512314732
3.9,15-64 years,1.612236114,-1.581432517
3.9,65 years and over,0.272030498,-0.342094997
4.0,0-14 years,0.539880713,-0.506970867
4.0,15-64 years,1.603754241,-1.572994873
4.0,65 years and over,0.271524003,-0.341503697
4.1,0-14 years,0.519135536,-0.486700866
4.1,15-64 years,1.579159335,-1.546284037
4.1,65 years and over,0.270125421,-0.339726838
4.2,0-14 years,0.511428449,-0.47932386
4.2,15-64 years,1.557507879,-1.524986481
4.2,65 years and over,0.267522859,-0.336541462
4.3,0-14 years,0.511118518,-0.479020667
4.3,15-64 years,1.554990358,-1.524129513
4.3,65 years and over,0.267467153,-0.336498791
4.4,65 years and over,0.265823678,-0.334559367
4.4,0-14 years,0.489974618,-0.45822596
4.4,15-64 years,1.522957816,-1.491706233
4.6,0-14 years,0.464652984,-0.434302473
4.6,15-64 years,1.464686503,-1.434352709
4.6,65 years and over,0.258299285,-0.326021054
4.7,0-14 years,0.454001099,-0.424195875
4.7,15-64 years,1.432043685,-1.402413952
4.7,65 years and over,0.254430503,-0.321215896
4.8,0-14 years,0.441025308,-0.412602718
4.8,15-64 years,1.395763236,-1.366708366
4.8,65 years and over,0.251083699,-0.316318509
4.9,0-14 years,0.441015621,-0.412593203
4.9,15-64 years,1.395727615,-1.366674888
4.9,65 years and over,0.251077678,-0.316312027
5.1,0-14 years,0.439117415,-0.410760504
5.1,15-64 years,1.390909633,-1.361900454
5.1,65 years and over,0.250646378,-0.315800064
5.2,65 years and over,0.247470973,-0.311149889
5.2,0-14 years,0.413555691,-0.386280387
5.2,15-64 years,1.340548917,-1.312428282
5.3,0-14 years,0.405521012,-0.378610172
5.3,15-64 years,1.325606845,-1.296310554
5.3,65 years and over,0.246273978,-0.309827475
5.4,0-14 years,0.39083507,-0.364578479
5.4,15-64 years,1.287618375,-1.259772592
5.4,65 years and over,0.243141072,-0.306226228
5.5,0-14 years,0.382273309,-0.356064837
5.5,15-64 years,1.276687734,-1.248352545
5.5,65 years and over,0.242560352,-0.305487082
5.6,0-14 years,0.377050039,-0.351053449
5.6,15-64 years,1.255313915,-1.2350241
5.6,65 years and over,0.241582473,-0.304696889
5.7,65 years and over,0.148900306,-0.197351546
5.7,0-14 years,0.248538119,-0.238057576
5.7,15-64 years,0.745114467,-0.753298487
5.8,65 years and over,0.148732473,-0.197136769
5.8,0-14 years,0.247820125,-0.237358497
5.8,15-64 years,0.743145452,-0.751301711
6.0,0-14 years,0.247749858,-0.237292751
6.0,15-64 years,0.742878913,-0.751048034
6.0,65 years and over,0.148677892,-0.197072356
6.1,0-14 years,0.241028875,-0.230817859
6.1,15-64 years,0.728141762,-0.736002461
6.1,65 years and over,0.147054977,-0.195298588
6.2,0-14 years,0.240570856,-0.230390495
6.2,15-64 years,0.725993291,-0.733879359
6.2,65 years and over,0.146675604,-0.194859534
6.3,0-14 years,0.218009653,-0.208771165
6.3,15-64 years,0.676264979,-0.681345085
6.3,65 years and over,0.141728082,-0.18856021
6.4,0-14 years,0.20372523,-0.195172892
6.4,15-64 years,0.640300566,-0.64566982
6.4,65 years and over,0.136823549,-0.182382458
6.5,0-14 years,0.20295195,-0.194442736
6.5,15-64 years,0.637207283,-0.642422892
6.5,65 years and over,0.136275323,-0.181292861
6.6,0-14 years,0.194171857,-0.185972249
6.6,15-64 years,0.615415327,-0.62044704
6.6,65 years and over,0.132478873,-0.175842135
6.7,0-14 years,0.193825291,-0.185638576
6.7,15-64 years,0.614501119,-0.619504906
6.7,65 years and over,0.132343485,-0.175693122
6.8,0-14 years,0.188602838,-0.180586616
6.8,15-64 years,0.607052175,-0.611529798
6.8,65 years and over,0.131747009,-0.174920277
6.9,15-64 years,0.594685208,-0.599138293
6.9,65 years and over,0.130590834,-0.173365802
6.9,0-14 years,0.184614495,-0.176792954
7.1,65 years and over,0.130581093,-0.17335493
7.1,0-14 years,0.184548335,-0.176729476
7.1,15-64 years,0.594551189,-0.599003426
7.2,65 years and over,0.130220617,-0.172939442
7.2,0-14 years,0.183992278,-0.176200022
7.2,15-64 years,0.592809662,-0.597282437
7.3,0-14 years,0.183551598,-0.17578316
7.3,15-64 years,0.590896859,-0.595382824
7.3,65 years and over,0.129795671,-0.172305596
7.5,0-14 years,0.18013667,-0.172467852
7.5,15-64 years,0.583478789,-0.587746131
7.5,65 years and over,0.12873643,-0.170671826
7.6,0-14 years,0.175480332,-0.167984633
7.6,15-64 years,0.572922314,-0.577272863
7.6,65 years and over,0.127877255,-0.169244835
7.8,0-14 years,0.150930311,-0.144557895
7.8,15-64 years,0.501516156,-0.501424548
7.8,65 years and over,0.116056945,-0.146400919
7.9,65 years and over,0.115571022,-0.145676507
7.9,0-14 years,0.150534004,-0.144184346
7.9,15-64 years,0.499819679,-0.499729215
8.0,0-14 years,0.147966022,-0.141729066
8.0,15-64 years,0.4933334,-0.493342403
8.0,65 years and over,0.114804156,-0.144763625
8.1,0-14 years,0.14744185,-0.141228881
8.1,15-64 years,0.49140425,-0.491449597
8.1,65 years and over,0.11459572,-0.144487171
8.2,0-14 years,0.1473369,-0.141129366
8.2,15-64 years,0.490920163,-0.491013326
8.2,65 years and over,0.114515823,-0.144383771
8.3,0-14 years,0.145925565,-0.139768484
8.3,15-64 years,0.487894381,-0.48795149
8.3,65 years and over,0.114356095,-0.144157397
8.4,65 years and over,0.113849559,-0.143544001
8.4,0-14 years,0.144724844,-0.138621928
8.4,15-64 years,0.485055257,-0.485214436
8.5,65 years and over,0.113822669,-0.143506202
8.5,0-14 years,0.14428063,-0.138182411
8.5,15-64 years,0.484510141,-0.484629152
8.6,0-14 years,0.14160519,-0.135617943
8.6,15-64 years,0.476507506,-0.476567093
8.6,65 years and over,0.112507074,-0.141815337
8.7,0-14 years,0.1328884,-0.126959612
8.7,15-64 years,0.455213715,-0.455036892
8.7,65 years and over,0.110729751,-0.139383752
8.8,0-14 years,0.132387251,-0.126488371
8.8,15-64 years,0.452986108,-0.452836997
8.8,65 years and over,0.110179078,-0.13860605
8.9,0-14 years,0.130566263,-0.124698186
8.9,15-64 years,0.450509822,-0.450245842
8.9,65 years and over,0.110067141,-0.138488561
9.0,0-14 years,0.130083831,-0.124225712
9.0,15-64 years,0.449675821,-0.449366977
9.0,65 years and over,0.110020906,-0.138425336
9.1,0-14 years,0.12306766,-0.117493165
9.1,15-64 years,0.430559089,-0.42926296
9.1,65 years and over,0.107404296,-0.135103607
9.2,0-14 years,0.123062234,-0.117488069
9.2,15-64 years,0.430529244,-0.429234541
9.2,65 years and over,0.107395825,-0.135095396
9.4,0-14 years,0.121923115,-0.116405397
9.4,15-64 years,0.425903699,-0.424749231
9.4,65 years and over,0.106227936,-0.133473425
9.5,0-14 years,0.120819108,-0.115352986
9.5,15-64 years,0.424326597,-0.423122098
9.5,65 years and over,0.106144505,-0.133365281
9.6,15-64 years,0.418868781,-0.417683858
9.6,65 years and over,0.104774227,-0.131656035
9.6,0-14 years,0.118716503,-0.113327506
9.7,65 years and over,0.097921895,-0.122921576
9.7,0-14 years,0.11444138,-0.109245231
9.7,15-64 years,0.397596907,-0.395902623
9.8,15-64 years,0.396152269,-0.394490304
9.8,65 years and over,0.097717739,-0.122688163
9.8,0-14 years,0.113871941,-0.108705088
9.9,0-14 years,0.111783203,-0.10670537
9.9,15-64 years,0.388572708,-0.386909926
9.9,65 years and over,0.096415492,-0.120881584
10.0,0-14 years,0.110629568,-0.105605671
10.0,15-64 years,0.386091262,-0.384172456
10.0,65 years and over,0.096151952,-0.120538962
10.3,0-14 years,0.104481308,-0.099813988
10.3,15-64 years,0.369500866,-0.367717419
10.3,65 years and over,0.093245629,-0.116699112
10.5,0-14 years,0.082397136,-0.078665698
10.5,15-64 years,0.293888819,-0.290863915
10.5,65 years and over,0.083396654,-0.103556343
10.6,65 years and over,0.082830291,-0.102895989
10.6,0-14 years,0.081901249,-0.078195722
10.6,15-64 years,0.291988637,-0.289009693
10.7,0-14 years,0.081228576,-0.077554313
10.7,15-64 years,0.288714436,-0.285620319
10.7,65 years and over,0.081934715,-0.101546072
10.8,0-14 years,0.075486449,-0.072107183
10.8,15-64 years,0.264462814,-0.261475151
10.8,65 years and over,0.075730383,-0.093652672
10.9,0-14 years,0.075451579,-0.072074194
10.9,15-64 years,0.264310887,-0.26133359
10.9,65 years and over,0.075681553,-0.093595711
11.1,0-14 years,0.067616105,-0.064703745
11.1,15-64 years,0.227932701,-0.225352414
11.1,65 years and over,0.059772522,-0.073350789
11.4,65 years and over,0.057064468,-0.070043919
11.4,0-14 years,0.065140583,-0.06234476
11.4,15-64 years,0.218611805,-0.216145178
11.5,15-64 years,0.213081632,-0.210885522
11.5,65 years and over,0.055512024,-0.068271209
11.5,0-14 years,0.063593599,-0.060880452
11.6,0-14 years,0.062947939,-0.060267053
11.6,15-64 years,0.210167576,-0.207978289
11.6,65 years and over,0.054692002,-0.067230719
11.8,0-14 years,0.062932033,-0.060251739
11.8,15-64 years,0.210129942,-0.20793773
11.8,65 years and over,0.054689688,-0.067227074
12.0,0-14 years,0.061888653,-0.059252809
12.0,15-64 years,0.206640689,-0.20447371
12.0,65 years and over,0.053899874,-0.066238065
12.2,0-14 years,0.055985529,-0.053631284
12.2,15-64 years,0.184639544,-0.182841683
12.2,65 years and over,0.047946546,-0.059200878
12.5,15-64 years,0.162793168,-0.161190374
12.5,65 years and over,0.041357839,-0.050676367
12.5,0-14 years,0.049381453,-0.047335198
12.8,0-14 years,0.048454996,-0.046460851
12.8,15-64 years,0.159100595,-0.157543058
12.8,65 years and over,0.040522834,-0.049666091
12.9,0-14 years,0.042549872,-0.040787124
12.9,15-64 years,0.132165706,-0.131445657
12.9,65 years and over,0.031737962,-0.03884192
13.0,0-14 years,0.039452287,-0.037857068
13.0,15-64 years,0.119798534,-0.11922158
13.0,65 years and over,0.028107382,-0.034574654
15.5,0-14 years,0.039439645,-0.037844893
15.5,15-64 years,0.119772297,-0.119196135
15.5,65 years and over,0.028105195,-0.034572374
18.4,0-14 years,0.031512897,-0.030157914
18.4,15-64 years,0.108358643,-0.10811147
18.4,65 years and over,0.027590048,-0.033967564
18.8,0-14 years,0.031510931,-0.03015607
18.8,15-64 years,0.108349978,-0.108104494
18.8,65 years and over,0.027589467,-0.033965817
21.5,0-14 years,1.745e-06,-1.662e-06
21.5,15-64 years,3.703e-06,-3.664e-06
21.5,65 years and over,3.18e-07,-5.47e-07
